SL Source #1,SEQID,Module,Primary Target,Exposure (s),RA,DEC,PA,,In old sheet?,Notes,,,,,
??,30160001002,B,CXOUJ163709d7m473157,50437.18,249.31,-47.5722,267.7851,2,Y,Two sources,,,,,
??,30160001002,B,CXOUJ163709d7m473157,50437.18,249.31,-47.5722,267.7851,2,Y,Two sources,,,,,
??,30160002002,B,CXOUJ163543d2m473411,99512.5897,248.94,-47.5917,261.9558,2,Y,Two sources,,,,,
??,30160002002,B,CXOUJ163543d2m473411,99512.5897,248.94,-47.5917,261.9558,2,Y,Two sources,,,,,
??,30201031002,A,HESS_J1713m381,78561.3295,258.49,-38.1924,341.7747,1,Y,Strong Unidentified SL,,,,,
??,30301013002,A,PSR_J1617m5055,132738.9137,244.41,-50.9032,204.7653,0,Y,"Strong SL, no match",,,,,
??,30301017002,A,1E_161348m5055,65633.0912,244.44,-51.0658,257.5949,0,Y,"Strong, Unident SL?",,,,,
??,30301017002,B,1E_161348m5055,65633.0912,244.44,-51.0658,257.5949,0,Y,Unident strong SL,,,,,
??,30301017002,B,1E_161348m5055,65633.0912,244.44,-51.0658,257.5949,0,Y,Unident strong SL,,,,,
??,30301024002,A,PNE_G343,37106.5707,255.38,-43.1653,299.7251,2,Y,Strong SL (at least two),,,,,
??,30301024002,B,PNE_G343,37106.5707,255.38,-43.1653,299.7251,1,Y,"Complex, overlaping SL",,,,,
??,30301024002,B,PNE_G343,37106.5707,255.38,-43.1653,299.7251,1,Y,"Complex, overlaping SL",,,,,
??,30302002002,A,PSR_J2032p4127,37843.4443,308.04,41.4307,332.2434,0,Y,Ghost rays,,,,,
??,30302002002,B,PSR_J2032p4127,37843.4443,308.04,41.4307,332.2434,1,Y,Ghost Rays,,,Also in B,,
??,30302002002,B,PSR_J2032p4127,37843.4443,308.04,41.4307,332.2434,1,Y,Ghost Rays,,,,,
??,30302002004,B,PSR_J2032p4127,42705.1779,308.04,41.4313,314.3536,2,Y,GR (Cyg X-3),,,,,
??,30302002004,B,PSR_J2032p4127,42705.1779,308.04,41.4313,314.3536,2,Y,GR (Cyg X-3),,,,,
??,30302002006,A,PSR_J2032p4127,41531.8154,308.05,41.4251,295.7072,1,Y,Ghost rays + SL (cool one),,,,,
??,30302002006,B,PSR_J2032p4127,41531.8154,308.05,41.4251,295.7072,1,Y,GR,,,,,
??,30302002006,B,PSR_J2032p4127,41531.8154,308.05,41.4251,295.7072,1,Y,GR,,,,,
??,30361002002,A,SXP_15d3,70650.3252,13.11,-73.3731,288.8469,1,N,Strong Unidentified SL (LMC?),,,,,
??,30364001002,A,PSR_J1400m6325,27443.9315,210.21,-63.4661,288.3536,0,Y,Unident SL?,,,,,
??,30364001002,B,PSR_J1400m6325,27443.9315,210.21,-63.4661,288.3536,2,Y,"Strong, unidentified",,,,,
??,30364001002,B,PSR_J1400m6325,27443.9315,210.21,-63.4661,288.3536,2,Y,"Strong, unidentified",,,,,
??,30401003002,A,IGR_J20063p3641,"35,683",301.62,36.7023,173,X,Y,"Weak in A, strong in B (unident, prob Cyg X-1?)",,,,,
??,30401017002,A,PSR_J1709m4429,43134.7425,257.42,-44.5206,314.9067,0,Y,Ghost rays + SL on B,,,,,
??,30401019002,A,OAO_1657m415,74760.1792,255.24,-41.6722,259.1556,0,N,"Multiple overlapping, FPMB doesn't match",,,,,
??,30401019002,B,OAO_1657m415,74760.1792,255.24,-41.6722,259.1556,1,N,"SL in both, unident in B",,,,,
??,30401019002,B,OAO_1657m415,74760.1792,255.24,-41.6722,259.1556,1,N,"SL in both, unident in B",,,,,
??,30401030002,B,GRS_1758m258,42041.341,270.28,-25.7655,334.5367,1,N,Diffuse SL over FoV,,,,,
??,30401030002,B,GRS_1758m258,42041.341,270.28,-25.7655,334.5367,1,N,Diffuse SL over FoV,,,,,
??,30402026002,A,4U_1909p07,18831.0401,287.71,7.6283,140.854,0,N,Corner SL (Doesn't match),,,,,
??,30402026004,A,4U_1909p07,23306.8497,287.71,7.6299,138.7475,0,N,Corner SL (Doesn't match),,,,,
??,30402028002,A,IGR_J16479m4514,21862.271,252.05,-45.1713,172.5606,1,N,Strong Ghost Rays + Streak ,,,,,
??,30402028002,B,IGR_J16479m4514,21862.271,252.05,-45.1713,172.5606,1,N,Ghost Rays and Streak,,,,,
??,30402028002,B,IGR_J16479m4514,21862.271,252.05,-45.1713,172.5606,1,N,Ghost Rays and Streak,,,,,
??,30402028004,A,IGR_J16479m4514,31233.2737,252.06,-45.1748,176.1827,1,N,Strong Ghost Rays + Streak ,,,,,
??,30402028004,B,IGR_J16479m4514,31233.2737,252.06,-45.1748,176.1827,2,N,Ghost Rays and Streak,,,,,
??,30402028004,B,IGR_J16479m4514,31233.2737,252.06,-45.1748,176.1827,2,N,Ghost Rays and Streak,,,,,
??,30410001002,B,CYG_OB2_8A_POS1,50643.848,308.29,41.3047,34.4216,1,N,Multiple point sources,,,,,
??,30410001002,B,CYG_OB2_8A_POS1,50643.848,308.29,41.3047,34.4216,1,N,Multiple point sources,,,,,
??,30410002002,A,CYG_OB2_8A_POS2,50029.2551,308.24,41.2941,34.449,0,N,Ghost Rays,,,,,
??,30410002002,B,CYG_OB2_8A_POS2,50029.2551,308.24,41.2941,34.449,1,N,Ghost Rays,,,,,
??,30410002002,B,CYG_OB2_8A_POS2,50029.2551,308.24,41.2941,34.449,1,N,Ghost Rays,,,,,
??,30601007002,B,SLX_1735m269,31034.7631,264.59,-26.9601,158.9162,2,N,"Multiple faint SL, one unID'd",,,,,
??,30601007002,B,SLX_1735m269,31034.7631,264.59,-26.9601,158.9162,2,N,"Multiple faint SL, one unID'd",,,,,
??,40001015002,A,G1d9p0d3,8913.9606,267.18,-27.2197,327.3478,1,Y,Complex,,,,,
??,40001015003,A,G1d9p0d3,85397.4212,267.17,-27.2067,327.3124,0,Y,"Multiple overlapping, ?? on FPMB",,,,,
??,40001015003,B,G1d9p0d3,85397.4212,267.17,-27.2067,327.3124,2,Y ,Complex,,,,,
??,40001015003,B,G1d9p0d3,85397.4212,267.17,-27.2067,327.3124,2,Y ,Complex,,,,,
??,40001015005,A,G1d9p0d3,121641.8301,267.18,-27.2056,327.3404,1,Y,Complex,,,,,
??,40001015005,B,G1d9p0d3,121641.8301,267.18,-27.2056,327.3404,2,Y,Complex,,,,,
??,40001015005,B,G1d9p0d3,121641.8301,267.18,-27.2056,327.3404,2,Y,Complex,,,,,
??,40001015007,A,G1d9p0d3,144685.1722,267.18,-27.2078,327.3454,1,Y,Complex,,,,,
??,40001015007,B,G1d9p0d3,144685.1722,267.18,-27.2078,327.3454,2,Y,Complex,,,,,
??,40001015007,B,G1d9p0d3,144685.1722,267.18,-27.2078,327.3454,2,Y,Complex,,,,,
??,40001022002,B,CXOUJ163802d6m471358,102818.8097,249.53,-47.2182,164.5577,0,Y,"Corner, prob GX 340+0?",,,,,
??,40001022002,B,CXOUJ163802d6m471358,102818.8097,249.53,-47.2182,164.5577,0,Y,"Corner, prob GX 340+0?",,,,,
??,40014001001,B,Norma_MOS001,18406.6446,248.48,-47.7203,160.1494,0,Y,Ghost rays + SL,,,,,
??,40014001001,B,Norma_MOS001,18406.6446,248.48,-47.7203,160.1494,0,Y,Ghost rays + SL,,,,,
??,40014002001,A,Norma_MOS002,19497.4487,248.36,-47.6443,160.1471,,Y,Ghost rays,,,,,
??,40014002001,B,Norma_MOS002,19497.4487,248.36,-47.6443,160.1471,0,Y,Ghost rays + SL,,,,,
??,40014002001,B,Norma_MOS002,19497.4487,248.36,-47.6443,160.1471,0,Y,Ghost rays + SL,,,,,
??,40014003001,B,Norma_MOS003,20846.0837,248.24,-47.5668,160.1266,0,Y,Ghost rays + SL,,,,,
??,40014003001,B,Norma_MOS003,20846.0837,248.24,-47.5668,160.1266,0,Y,Ghost rays + SL,,,,,
??,40014004001,B,Norma_MOS004,19440.002,248.60,-47.6373,160.1231,0,Y,Ghost rays + SL,,,,,
??,40014004001,B,Norma_MOS004,19440.002,248.60,-47.6373,160.1231,0,Y,Ghost rays + SL,,,,,
??,40014007001,B,Norma_MOS007,22639.8596,248.71,-47.5553,160.135,0,Y,Ghost rays + SL,,,,,
??,40014007001,B,Norma_MOS007,22639.8596,248.71,-47.5553,160.135,0,Y,Ghost rays + SL,,,,,
??,40014021002,B,Norma_MOS021,30040.6306,249.11,-47.1552,168.0928,1,Y,Unidentified? Probably GX 340+0,,,,,
??,40014021002,B,Norma_MOS021,30040.6306,249.11,-47.1552,168.0928,1,Y,Unidentified? Probably GX 340+0,,,,,
??,40014022001,B,Norma_MOS022,29049.239,249.03,-46.9576,168.0985,0,Y,"Corner, prob GX 340+0?",,,,,
??,40014022001,B,Norma_MOS022,29049.239,249.03,-46.9576,168.0985,0,Y,"Corner, prob GX 340+0?",,,,,
??,40014023001,B,Norma_MOS023,29333.8332,249.20,-47.1071,168.1,0,Y,"Corner, prob GX 340+0?",,,,,
??,40014023001,B,Norma_MOS023,29333.8332,249.20,-47.1071,168.1,0,Y,"Corner, prob GX 340+0?",,,,,
??,40014024001,B,Norma_MOS024,29494.5026,248.84,-46.9902,168.1169,0,Y,"Corner, prob GX 340+0?",,,,,
??,40014024001,B,Norma_MOS024,29494.5026,248.84,-46.9902,168.1169,0,Y,"Corner, prob GX 340+0?",,,,,
??,40014025001,B,Norma_MOS025,29787.579,248.88,-47.0733,168.1144,0,Y,"Corner, prob GX 340+0?",,,,,
??,40014025001,B,Norma_MOS025,29787.579,248.88,-47.0733,168.1144,0,Y,"Corner, prob GX 340+0?",,,,,
??,40014026001,B,Norma_MOS026,30459.0692,249.12,-46.9072,168.0941,0,Y,"Corner, prob GX 340+0?",,,,,
??,40014026001,B,Norma_MOS026,30459.0692,249.12,-46.9072,168.0941,0,Y,"Corner, prob GX 340+0?",,,,,
??,40014027001,B,Norma_MOS027,31097.9593,249.16,-47.0089,168.1171,0,Y,"Corner, prob GX 340+0?",,,,,
??,40014027001,B,Norma_MOS027,31097.9593,249.16,-47.0089,168.1171,0,Y,"Corner, prob GX 340+0?",,,,,
??,40014028002,B,Norma_MOS028,29770.1392,249.03,-47.1639,168.1544,0,Y,"Corner, prob GX 340+0?",,,,4U 1705 (sliver),
??,40014028002,B,Norma_MOS028,29770.1392,249.03,-47.1639,168.1544,0,Y,"Corner, prob GX 340+0?",,,,,
??,40014029001,B,Norma_MOS029,29445.1367,249.94,-46.8983,168.259,0,Y,"Corner, prob GX 340+0?",,,,4U 1705 (sliver),
??,40014029001,B,Norma_MOS029,29445.1367,249.94,-46.8983,168.259,0,Y,"Corner, prob GX 340+0?",,,,,
??,40014030001,B,Norma_MOS030,28126.0299,250.22,-46.7178,168.305,1,Y,"Corner, prob GX 340+0?",,,,,
??,40014030001,B,Norma_MOS030,28126.0299,250.22,-46.7178,168.305,1,Y,"Corner, prob GX 340+0?",,,,,
??,40014031001,B,Norma_MOS031,30304.0153,250.52,-46.7772,168.3521,1,Y,"Corner, prob GX 340+0?",,,,,
??,40014031001,B,Norma_MOS031,30304.0153,250.52,-46.7772,168.3521,1,Y,"Corner, prob GX 340+0?",,,,,
??,40014032001,B,Norma_MOS032,31345.1802,250.43,-46.7895,168.4181,2,Y,"Corner, prob GX 340+0?",,,,,
??,40014032001,B,Norma_MOS032,31345.1802,250.43,-46.7895,168.4181,2,Y,"Corner, prob GX 340+0?",,,,,
??,40014034001,B,Norma_MOS034,31782.1886,250.27,-46.8264,168.1849,1,Y,"Corner, prob GX 340+0?",,,,,
??,40014034001,B,Norma_MOS034,31782.1886,250.27,-46.8264,168.1849,1,Y,"Corner, prob GX 340+0?",,,,,
??,40014035001,B,Norma_MOS035,39864.2636,250.05,-46.8713,168.1523,0,Y,"Corner, prob GX 340+0?",,,,,
??,40014035001,B,Norma_MOS035,39864.2636,250.05,-46.8713,168.1523,0,Y,"Corner, prob GX 340+0?",,,,,
??,40101001002,A,Arches_cluster,107188.988,266.43,-28.8427,338.7261,1,Y,Complex,,,,,
??,40101001004,A,Arches_cluster,107856.0856,266.43,-28.8416,339.6101,1,Y,Complex,,,,,
??,40111001002,A,RXJ1713d7m3946_NW_P1,49596.616,257.85,-39.5209,343.286,2,Y,"Multiple overlapping, unident in A",,,,,
??,40111002002,A,RXJ1713d7m3946_NW_P2,57357.277,257.93,-39.5749,165.5761,0,Y,Multiple (extended source),,,,,
??,40112001002,B,GCR_Block_A1,103300.4709,266.21,-28.7884,159.8636,1,Y,Complex,,,,,
??,40112001002,B,GCR_Block_A1,103300.4709,266.21,-28.7884,159.8636,1,Y,Complex,,,,,
??,40201001002,B,G346d6m0d2,62775.7322,257.56,-40.1979,148.4452,0,Y,"SL on both, multiple overlapping",,,,,
??,40201001002,B,G346d6m0d2,62775.7322,257.56,-40.1979,148.4452,0,Y,"SL on both, multiple overlapping",,,,,
??,40301005002,B,RCW_86_SW,174447.5585,220.25,-62.6568,252.9213,0,Y,"Strong in B, Unidentified?",,,,,
??,40301005002,B,RCW_86_SW,174447.5585,220.25,-62.6568,252.9213,0,Y,"Strong in B, Unidentified?",,,,,
??,40301005004,B,RCW_86_SW,72921.0917,220.30,-62.685,306.1761,2,Y,"Strong SL, B only, unidentified",,,,,
??,40301005004,B,RCW_86_SW,72921.0917,220.30,-62.685,306.1761,2,Y,"Strong SL, B only, unidentified",,,,,
??,40401004002,A,HESS_J1641m463,100699.3358,250.17,-46.3453,357.8274,0,N,"Multiple SL, overlapping",,,,,
??,40501005002,A,G0d13m0d11,99034.1809,266.62,-28.8495,154.7414,0,N,Source at edge of FoV + ghost rays,,,,,
??,40501005002,B,G0d13m0d11,99034.1809,266.62,-28.8495,154.7414,0,N,2nd source+SL?,,,,,
??,40501005002,B,G0d13m0d11,99034.1809,266.62,-28.8495,154.7414,0,N,2nd source+SL?,,,,,
??,50311001002,B,SMC_Deep_MOS01,153720.6136,13.93,-72.4391,82.7037,0,N,Multiple point sources and unident SL,,,,,
??,50311001002,B,SMC_Deep_MOS01,153720.6136,13.93,-72.4391,82.7037,0,N,Multiple point sources and unident SL,,,,,
??,60061279002,A,GRS1734m292,20292.5873,264.35,-29.1582,336.5919,0,Y,Multiple,,,,,
??,60061279002,B,GRS1734m292,20292.5873,264.35,-29.1582,336.5919,2,Y,Multiple overlapping SL sources,,,,,
??,60061279002,B,GRS1734m292,20292.5873,264.35,-29.1582,336.5919,2,Y,Multiple overlapping SL sources,,,,,
??,60301010002,A,GRS_1734m292,26020.3307,264.39,-29.1035,174.934,2,Y,"Multiple, hard to tell",,,,,
??,60402008002,B,SWIFT_J2127d4p5654,71254.969,321.92,56.9606,97.9772,0,N,Strong SL (unident),,,,,
??,60402008002,B,SWIFT_J2127d4p5654,71254.969,321.92,56.9606,97.9772,0,N,Strong SL (unident),,,,,
??,70301002002,A,Ophiuchus_Cluster,110524.9482,258.16,-23.4319,338.0651,1,Y,Extended + SL,,,,,
??,70301002002,B,Ophiuchus_Cluster,110524.9482,258.16,-23.4319,338.0651,0,Y,Extended source + SL,,,,,
??,70301002002,B,Ophiuchus_Cluster,110524.9482,258.16,-23.4319,338.0651,0,Y,Extended source + SL,,,,,
??,80001002004,A,RXJ0520d5m6932,33240.9488,80.12,-69.5727,283.2366,2,N,"PSF bleed, maybe some SL?",,,,,
??,80001041002,B,IGRJ17091m3624,43293.4287,257.31,-36.3924,159.0663,1,Y,SL on both (second?),,,,,4U 1705 (sliver)
??,80001041002,B,IGRJ17091m3624,43293.4287,257.31,-36.3924,159.0663,1,Y,SL on both (second?),,,,,
??,80001044002,B,H1743m322,50449.7126,266.55,-32.2383,335.7553,1,Y,Some SL on B? Multiple.,,,,,
??,80001044002,B,H1743m322,50449.7126,266.55,-32.2383,335.7553,1,Y,Some SL on B? Multiple.,,,,,
??,80001044004,B,H1743m322,61284.1923,266.55,-32.2412,336.5288,0,Y,Some SL on B? Multiple.,,,,,
??,80001044004,B,H1743m322,61284.1923,266.55,-32.2412,336.5288,0,Y,Some SL on B? Multiple.,,,,,
??,80001044006,B,H1743m322,25669.3923,266.53,-32.2508,338.8013,0,Y,Some SL on B? Multiple,,,,,
??,80001044006,B,H1743m322,25669.3923,266.53,-32.2508,338.8013,0,Y,Some SL on B? Multiple,,,,,
??,80001046002,A,IGRJ17454m2919,29408.6611,266.34,-29.3549,337.8242,1,Y,Ghost rays (SL on FPMB),,,,,
??,80001046002,B,IGRJ17454m2919,29408.6611,266.34,-29.3549,337.8242,1,Y,GR + multiple SL,,,,,
??,80001046002,B,IGRJ17454m2919,29408.6611,266.34,-29.3549,337.8242,1,Y,GR + multiple SL,,,,,
??,80002040002,A,H1743m322,28295.4107,266.57,-32.2542,305.1063,1,Y,Multiple overlapping / doesn't match,,,,,
??,80002040002,B,H1743m322,28295.4107,266.57,-32.2542,305.1063,0,Y,"Strong SL on B, some on A, mixed",,,,,
??,80002040002,B,H1743m322,28295.4107,266.57,-32.2542,305.1063,0,Y,"Strong SL on B, some on A, mixed",,,,,
??,80002040004,B,H1743m322,28107.1284,266.54,-32.2641,324.5894,0,Y,"Strong Sl on B, mixed, one unident",,,,,
??,80002040004,B,H1743m322,28107.1284,266.54,-32.2641,324.5894,0,Y,"Strong Sl on B, mixed, one unident",,,,,
??,80002040006,B,H1743m322,26357.3686,266.53,-32.2611,330.2377,0,Y,"Strong SL, mixed",,,,,
??,80002040006,B,H1743m322,26357.3686,266.53,-32.2611,330.2377,0,Y,"Strong SL, mixed",,,,,
??,80101050002,A,GRS_1739m278,43382.9711,265.64,-27.7613,338.0784,2,Y,"Complicated, overlapping",,,,,
??,80102101002,A,GRS_1739m278,27137.2417,265.64,-27.7655,336.9233,1,Y,Multiple overlapping,,,,,
??,80102101004,A,GRS_1739m278,25899.4087,265.64,-27.7659,338.4377,1,Y,Multiple overlapping,,,,,
??,80102101005,A,GRS_1739m278,27023.153,265.62,-27.777,339.6481,1,Y,Multiple overlapping,,,,,
??,80201050002,A,CXO_J164710d2m455216,19143.3456,251.83,-45.8814,227.9702,2,Y,Ghost rays,,,,,
??,80201050002,B,CXO_J164710d2m455216,19143.3456,251.83,-45.8814,227.9702,1,Y,Ghost rays,,,,,
??,80201050002,B,CXO_J164710d2m455216,19143.3456,251.83,-45.8814,227.9702,1,Y,Ghost rays,,,,,
??,80201050004,A,CXO_J164710d2m455216,24029.2798,251.80,-45.9136,276.6092,0,N,Ghost Rays,,,,,
??,80201050004,B,CXO_J164710d2m455216,24029.2798,251.80,-45.9136,276.6092,0,Y,Ghost rays,,,,,
??,80201050004,B,CXO_J164710d2m455216,24029.2798,251.80,-45.9136,276.6092,0,Y,Ghost rays,,,,,
??,80201050006,A,CXO_J164710d2m455216,23937.4483,251.78,-45.9084,313.8015,0,N,Ghost Rays,,,,,
??,80201050006,B,CXO_J164710d2m455216,23937.4483,251.78,-45.9084,313.8015,0,Y,Ghost rays,,,,,
??,80201050006,B,CXO_J164710d2m455216,23937.4483,251.78,-45.9084,313.8015,0,Y,Ghost rays,,,,,
??,80201050008,A,CXO_J164710d2m455216,39717.5499,251.82,-45.8543,159.0077,0,Y,Ghost rays,,,,,
??,80201050008,B,CXO_J164710d2m455216,39717.5499,251.82,-45.8543,159.0077,0,Y,Ghost rays,,,,,
??,80201050008,B,CXO_J164710d2m455216,39717.5499,251.82,-45.8543,159.0077,0,Y,Ghost rays,,,,,
??,80202012002,A,H_1743m322,65862.5688,266.59,-32.2166,155.2824,0,Y,"PSF bleed, but SL on FPMA",,,,,
??,80202012004,A,H_1743m322,65688.1101,266.60,-32.2165,155.5985,0,Y,"PSF bleed, but SL on FPMA",,,,,
??,80202012006,A,H_1743m322,65709.1485,266.54,-32.2575,336.8241,2,N,"Strong SL, not sure what it is",,,,,
??,80202012006,B,H_1743m322,65709.1485,266.54,-32.2575,336.8241,2,Y,Some SL on B? Multiple.,,,,,
??,80202012006,B,H_1743m322,65709.1485,266.54,-32.2575,336.8241,2,Y,Some SL on B? Multiple.,,,,,
??,80202014002,A,IGRJ17091m3624,20237.9061,257.31,-36.3925,160.3321,1,Y,"Maybe SL, but doesn't match.",,,,,
??,80202014002,B,IGRJ17091m3624,20237.9061,257.31,-36.3925,160.3321,2,Y,Maybe SL?,,,,,
??,80202014002,B,IGRJ17091m3624,20237.9061,257.31,-36.3925,160.3321,2,Y,Maybe SL?,,,,,
??,80202014004,A,IGRJ17091m3624,20698.1016,257.31,-36.3908,160.8695,1,Y,"Maybe SL, but doesn't match.",,,,,
??,80202014004,B,IGRJ17091m3624,20698.1016,257.31,-36.3908,160.8695,2,Y,Maybe SL?,,,,,
??,80202014004,B,IGRJ17091m3624,20698.1016,257.31,-36.3908,160.8695,2,Y,Maybe SL?,,,,,
??,80202014006,B,IGRJ17091m3624,48392.9076,257.32,-36.3868,164.4916,1,Y,Fainter SL on B (2nd?),,,,,
??,80202014006,B,IGRJ17091m3624,48392.9076,257.32,-36.3868,164.4916,1,Y,Fainter SL on B (2nd?),,,,,
??,80202015002,A,IGRJ17091m3624,39112.71,257.31,-36.3782,176.0979,2,Y,At least two (more on FPMB),,,,,
??,80202015004,A,IGRJ17091m3624,36340.1357,257.30,-36.4035,204.4454,0,Y,Streak + full FoV?,,,,,
??,80202015004,B,IGRJ17091m3624,36340.1357,257.30,-36.4035,204.4454,2,Y,Streak,,,,,
??,80202015004,B,IGRJ17091m3624,36340.1357,257.30,-36.4035,204.4454,2,Y,Streak,,,,,
??,80401321002,A,4U_1608m52,53741.5497,243.17,-52.464,314.9327,2,Y,Unident source,,,,,
??,80401321002,B,4U_1608m52,53741.5497,243.17,-52.464,314.9327,1,Y,Unident source,,,,,
??,80401321002,B,4U_1608m52,53741.5497,243.17,-52.464,314.9327,1,Y,Unident source,,,,,
??,80402320002,A,SGR_1806m20,39917.0977,272.14,-20.4465,328.9959,0,Y,Strong SL (lots on FPMB) No match,,,,,
??,80402320002,B,SGR_1806m20,39917.0977,272.14,-20.4465,328.9959,0,Y,"Multiple, whole FoV, unident",,,,,
??,80402320002,B,SGR_1806m20,39917.0977,272.14,-20.4465,328.9959,0,Y,"Multiple, whole FoV, unident",,,,,
??,90001005002,B,IGRJ17544m2619,79252.215,268.63,-26.3045,155.0719,2,Y,Multiple SL sources,,,,,
??,90001005002,B,IGRJ17544m2619,79252.215,268.63,-26.3045,155.0719,2,Y,Multiple SL sources,,,,,
??,90101001002,A,IGR_J17511m3057,42244.8923,267.82,-30.9367,158.3352,0,Y,Mutliple overlapping,,,,,
??,90101001002,B,IGR_J17511m3057,42244.8923,267.82,-30.9367,158.3352,0,N,"SL on both, lots, overlapping",,,,,
??,90101001002,B,IGR_J17511m3057,42244.8923,267.82,-30.9367,158.3352,0,N,"SL on both, lots, overlapping",,,,,
??,90101003002,B,1RXS_J180408d9m342058,20230.4212,271.06,-34.3215,158.8439,1,Y,"PSF bleed, weak SL?",,,,,
??,90101003002,B,1RXS_J180408d9m342058,20230.4212,271.06,-34.3215,158.8439,1,Y,"PSF bleed, weak SL?",,,,,
??,90101017002,A,SMC_X2,26720.2316,13.74,-73.7067,256.7489,0,N,Strong SL (Some SMC source),,,,,
??,90102003002,A,SAX_J1808d4m3658,49267.7721,272.13,-36.9541,159.4761,1,Y,"Strong SL, unknown?",,,,,
??,90102003004,B,SAX_J1808d4m3658,21508.7674,272.14,-36.951,168.1145,1,Y,"Strong, unident SL",,,,,
??,90102003004,B,SAX_J1808d4m3658,21508.7674,272.14,-36.951,168.1145,1,Y,"Strong, unident SL",,,,,
??,90102014004,A,SMC_X2,23058.9468,13.74,-73.695,248.5767,2,N,Strong SL (SMC source?),,,,,
??,90201020002,A,COm0d4m0d22,93528.3391,266.36,-29.4081,336.0053,2,Y,Multiple sources in FoV + SL on FPMB,,,,,
